event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
RUS9483,"15 February 2023",2023,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Students (Russia)",Protesters,,,,"Protesters only",,643,Europe,Russia,"Saint Petersburg",Admiralteyskiy,,"St. Petersburg",59.931,30.3049,1,RFE/RL,International,"Around 15 February 2023, school students and their parents protested in St. Petersburg against the plans to cut down a green space near their school.",0,"crowd size=no report",1706054153,32984
RUS9467,"13 February 2023",2023,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,Altai,Kamenskiy,,Kamen-na-Obi,53.7878,81.3215,1,KPRF,Other,"Around 13 February 2023 (as reported), people protested in Kamen-na-Obi against rising utility tariffs. The event was organized by local KPRF activists.",0,"crowd size=no report",1677001537,2147
RUS9466,"12 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Karelia",Petrozavodskiy,,Petrozavodsk,61.7961,34.3493,1,Activatica,Other,"On 12 February 2023, 80 people protested in Petrozavodsk against rising utility tariffs. The demonstration was organized by local KPRF activists.",0,"crowd size=80",1677001537,8588
RUS9484,"12 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Yabloko: Russian United Democratic Party",Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Tatarstan",Kazan,,Kazan,55.7887,49.1221,1,News.ru,National,"On 12 February 2023, people protested in Kazan against censorship. Members of Yabloko also participated in the mass picket.",0,"crowd size=no report",1677001537,13435
RUS9487,"12 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Altai,Barnaul,,Barnaul,53.3606,83.7636,1,Activatica,Other,"On 12 February 2023, around 500 people protested in Barnaul against rising utility tariffs.",0,"crowd size=around 500",1677001538,13427
RUS9488,"12 February 2023",2023,2,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Novosibirsk,Novosibirsk,,Novosibirsk,55.0415,82.9346,1,Tayga.Info,Subnational,"Around 12 February 2023, people protested in Novosibirsk against the overcrowding in one of the schools in their neighborhood, due to the construction of a new multi-story building.",0,"crowd size=no report",1677001538,16087
RUS9462,"11 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,Altai,Biysk,,Biysk,52.5363,85.2072,1,"Activatica; KPRF",Other,"On 11 February 2023, around 40 people staged a mass picket in Biysk against rising utility tariffs. The picket was organized by local KPRF activists.",0,"crowd size=around 40",1677001537,10872
RUS9463,"11 February 2023",2023,1,Demonstrations,Protests,"Protest with intervention","Protesters (Russia)",,Protesters,"Police Forces of Russia (2000-)",,"State forces","State forces-Protesters",,643,Europe,Russia,"Moscow Oblast",Krasnogorsk,,Krasnogorsk,55.8275,37.3215,1,"OVD Info",National,"On 11 February 2023, protesters staged a picket at a stadium in Krasnogorsk against the opening of a private lyceum instead of a public school in the city. Police arrested at least 6 protesters.",0,"crowd size=no report",1677001537,3937
RUS9468,"11 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation; LF: Left Front",Protesters,,,,"Protesters only",,643,Europe,Russia,Tyumen,Tyumen,,Tyumen,57.1522,65.5272,1,NashGorod,National,"On 11 February 2023, dozens of Left Front and KPRF supporters protested in Tyumen against the law recently passed in the Russian parliament governing the collection and use of the citizens' biometric data.",0,"crowd size=dozens",1677001537,12199
RUS9485,"11 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Tatarstan",Kazan,,Kazan,55.7887,49.1221,1,EcoProtest,National,"On 11 February 2023, residents protested in Kazan against the construction of a nuclear power plant due to environmental and health concerns.",0,"crowd size=no report",1677001537,13435
RUS9486,"11 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Khabarovsk,Khabarovsk,,Khabarovsk,48.4827,135.0838,1,RFE/RL,International,"On 11 February 2023, several dozen people protested in Khabarovsk in support of the jailed governor of Khabarovsk Krai Sergei Furgal. He was sentenced to 22 years in prison.",0,"crowd size=several dozen",1677001538,6977
RUS9444,"10 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,"Moscow Oblast",Khimki,,Khimki,55.8951,37.4373,1,"Moskovskij Komsomolets",National,"On 10 February 2023, parents of school children protested in Khimki over a concern that one of the teachers was to be fired.",0,"crowd size=no report",1676403729,9938
UKR127810,"10 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Khmelnytskyi,Khmelnytskyi,Khmelnytska,Khmelnytskyi,49.4128,26.998,1,"Suspilne Media",National,"On 10 February 2023, demonstrators gathered in Khmelnytskyi, Khmelnytskyi as part of 'Bring our Heroes Home' to support and call for the release of Ukrainian prisoners of war held by the Russian Federation.",0,"crowd size=no report",1695129378,16266
RUS9481,"07 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",StopBashRTS,Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Bashkortostan",Ufa,,Ufa,54.7852,56.0456,1,RFE/RL,International,"On 7 February 2023, 8 activists of StopBashRTS staged a picket in Ufa, demanding to restore the gas supply to their houses. The gas supply has been off since November 2022.",0,"crowd size=8",1677001537,4935
RUS9415,"07 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Government of Russia (2000-)",Protesters,,,,"Protesters only",,643,Europe,Russia,Novosibirsk,Iskitimskiy,,Linevo,54.4576,83.3805,1,"Vecherniy Novosibirsk",Subnational,"On 7 February 2023, residents participated in a rally in Linevo in support of the Russian military invasion of Ukraine. Local deputies and members of the city administration took part in the event.",0,"crowd size=no report",1715131305,1541
RUS9443,"06 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Penza,Kolyshleyskiy,,Berezovka,52.7732,44.515,1,KPRF,Other,"On 6 February 2023, over a hundred residents protested in Berezovka over the actions of local officials, who prevented the appointment of the head of the village council administration.",0,"crowd size=over a hundred",1676403729,710
RUS9414,"06 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","ER: United Russia",Protesters,,,,"Protesters only",,643,Europe,Russia,Novgorod,"Velikiy Novgorod",,"Veliky Novgorod",58.5447,31.2857,1,"Novgorod TV",Subnational,"On 6 February 2023, residents participated in a rally in Veliky Novgorod, organized by the ruling United Russia party, in support of the Russian military invasion of Ukraine.",0,"crowd size=no report",1680633883,2610
RUS9418,"05 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,Altai,Rubtsovskiy,,Rubtsovsk,51.5124,81.2257,1,"Activatica; RFE/RL",Other-International,"On 5 February 2023, around 300 people took part in a demonstration in Rubtsovsk against rising utility tariffs, organized by KPRF.",0,"crowd size=around 300",1676403729,2662
